track.name,name,cluster
Anita No!,The Dø,6
Ankle Injuries,Fujiya & Miyagi,1
Anna (Go To Him) - Remastered 2009,The Beatles,6
Annie,Mac DeMarco,2
Annie,Mac DeMarco,5
Annie,Mac DeMarco,0
"Another Brick in the Wall, Pt. 1",Pink Floyd,2
"Another Brick In The Wall, Pt. 2 - 2011 Remastered Version",Pink Floyd,5
"Another Brick in the Wall, Pt. 2",Pink Floyd,6
"Another Brick In The Wall, Pt. 2 - 2011 Remastered Version",Pink Floyd,6
"Another Brick in the Wall, Pt. 3",Pink Floyd,6
Another Day,WhoMadeWho,6
Another Girl - Remastered 2009,The Beatles,6
Another One,Mac DeMarco,2
Another One Bites The Dust - Remastered 2011,Queen,0
Ansaphone - Demo previously unreleased,Pulp,7
Anti-Pioneer,Feist,8
Antiaméricanisme Primaire,Loco Locass,3
(Antichrist Television Blues),Arcade Fire,6
Antigone,Loco Locass,6
Any Colour You Like,Pink Floyd,1
Any Day Will Do Fine,Michael Kiwanuka,2
Any Other Way,Bahamas,2
Any Time At All - Remastered 2009,The Beatles,6
Apocalypse Dreams,Tame Impala,7
Après l'aéroport,Tahiti Boy,2
April's Song,Real Estate,1
"Aqui, Ali, Em Qualquer Lugar",Rita Lee,2
Arabella,Arctic Monkeys,7
Arabella,Arctic Monkeys,7
Arizona,Dumas,6
Army of Me,Björk,0
Around My Head,Cage The Elephant,6
Around The World,Kings of Leon,1
Around the World,Daft Punk,1
Around the World - Radio Edit [Radio Edit],Daft Punk,1
Arrival in Nara,alt-J,2
Arsonist's Lullabye,Hozier,2
The Art School Kids,Slow Hollows,2
Artifacts,Ariane Moffatt,2
Artificial Nocturne,Metric,7
As I Was Saying,Jack Johnson,0
"As the World Falls Down (From ""Labyrinth"")",The Hollywood Soundtrack Band,6
Ascension,Beach Fossils,8
Ask Me Anything,The Strokes,2
Ask Me Why - Remastered 2009,The Beatles,2
Au-Dessus De La Tête De Lilijune,Karkwa,2
Auld Lang Syne,Sufjan Stevens,2
Automatic,SIMON I,7
Automatic Stop,The Strokes,1
Automatic Stop,The Strokes,1
Avant l'aube,Dumas,2
Avant que vienne l'avalanche,Damien Robitaille,0
ave cesaria,Stromae,0
Ave Maria (feat. Cat Martino),Sufjan Stevens,8
avf,Stromae,0
Awake,Electric Guest,6
Awful Sound (Oh Eurydice),Arcade Fire,6
Awkward - EP Version,San Cisco,7
AWOL Marine,Perfume Genius,2
Baby Be Mine,Michael Jackson,0
Baby Be Mine,Michael Jackson,0
Baby Blue,King Krule,2
Baby It's You - Remastered 2009,The Beatles,2
Baby's In Black - Live / Bonus Track,The Beatles,5
Baby's In Black - Remastered 2009,The Beatles,7
Baby's Wearing Blue Jeans,Mac DeMarco,6
"Baby, You're A Rich Man - Remastered 2009",The Beatles,6
Bac à fleurs,Les Trois Accords,6
Bachelor Party,Radio Radio,3
Bachelorette,Björk,0
(Back Home Again In) Indiana,Lester Young,2
(Back Home Again In) Indiana,Oscar Peterson Trio,2
Back in Love,Estelle,3
Back In The U.S.S.R,The Beatles,6
Back In The U.S.S.R. - Remastered 2009,The Beatles,7
Back In The U.S.S.R. - Remastered 2009,The Beatles,7
Back of the Car,Miike Snow,0
Back To Black,Amy Winehouse,7
Back Together,Metronomy,0
Bad Boy - Remastered 2009,The Beatles,6
Bad Ritual,Timber Timbre,2
The Bait,Electric Guest,0
Balade à Toronto,Jean Leloup,5
The Ballad Of John And Yoko - Remastered 2009,The Beatles,6
The Ballad Of John And Yoko - Remastered 2009,The Beatles,6
The Ballad Of John And Yoko - Remastered 2015,The Beatles,6
Banana Pancakes,Jack Johnson,6
Bangers + Mash,Radiohead,5
Banquet,Bloc Party,0
Bar Italia,Pulp,8
Barbra Streisand,Duck Sauce,3
Barcarola (You Must Be A Christmas Tree),Sufjan Stevens,2
Barely Legal,The Strokes,7
Barely Legal,The Strokes,7
Bashful Creatures,Hippo Campus,7
Basic Space,The xx,2
bâtard,Stromae,5
Bathed In Grey,King Krule,2
Bathroom Mirror / You're Coming Right?,Justin Hurwitz,1
The Bay,Metronomy,0
Be Above It,Tame Impala,0
Be Like You,Ed Sheeran,2
Be Mine,Alabama Shakes,6
Be My Witness,Bahamas,2
Beast Of Burden - Remastered 1994,The Rolling Stones,0
Beat It,Michael Jackson,0
Beat It - Single Version,Michael Jackson,0
Beat The Drum Slowly,Timber Timbre,2
Beau temps mauvais temps,TRICOT MACHINE,7
Beautiful Boy,Freshly Ground,2
Beautiful Boy,Ben Harper,2
Because,The Beatles,2
Because - Anthology 3 Version,The Beatles,2
Because - Remastered 2009,The Beatles,2
Becoming,Milky Chance,0
Becoming,Piano Tribute Players,2
Before Destruction,Spoon,6
Before They Make Me Run - Remastered,The Rolling Stones,6
Beginning,C418,2
A Beginning - Anthology 3 Version,The Beatles,8
"Behold the Birth of Man, the Face of Glory",Sufjan Stevens,8
Being For The Benefit Of Mr Kite! - Take 7 / Anthology 2 Version,The Beatles,8
Being For The Benefit Of Mr Kite! - Takes 1 & 2 / Anthology 2 Version,The Beatles,2
Being For The Benefit Of Mr Kite! / I Want You (She's So Heavy) / Helter Skelter,The Beatles,8
Being For The Benefit Of Mr. Kite! - Remastered 2009,The Beatles,6
Believe Me Natalie,The Killers,6
Belispeak,Purity Ring,0
Belle,Jack Johnson,2
Below the Cherry Moon,WhoMadeWho,1
Belzébuth,Les Colocs,3
The Bend,Real Estate,1
Besame Mucho - Anthology 1 Version,The Beatles,0
Best Night,LMFAO,0
Best Night,will.i.am,0
Best Night,GoonRock,0
Best Night,Eva Simons,0
Best That I Can,Vance Joy,8
Beth/Rest,Bon Iver,2
Better Man,Leon Bridges,7
Better Run,Royal Bangs,5
Better Together,Jack Johnson,6
Between Love & Hate,The Strokes,1
Between Love & Hate,The Strokes,1
Beyond,Daft Punk,0
Big,Dayne,3
Big Boy,Charlotte Cardin,2
Big Parade,The Lumineers,6
Big Time Sensuality - The Fluke Remix,Björk,6
Billie Holiday,Miike Snow,6
Billie Jean,The Lost Fingers,0
Billie Jean (Home Demo from 1981),Michael Jackson,0
Billie Jean,Michael Jackson,0
Billie Jean,Michael Jackson,0
Bing Bing,Les Trois Accords,6
Birth In Reverse,St. Vincent,0
Birthday,Beach Fossils,7
Birthday - Remastered 2009,The Beatles,1
Bitch - 2009 Mix,The Rolling Stones,6
Biting Down,Lorde,2
Bitter Memories,Bahamas,2
Bitter Poem,Cold War Kids,7
Black & Blue,Miike Snow,0
Black & Blue,Miike Snow,0
Black Like Me,Spoon,7
Black Man In A White World - Live From Spotify London,Michael Kiwanuka,1
Black Mirror,Arcade Fire,1
Black Mud,The Black Keys,1
Black Tables,Other Lives,2
Black Velvet,VioleTT Pi,6
Black Water,Timber Timbre,5
Black Wave/Bad Vibrations,Arcade Fire,1
Black Widow,Cage The Elephant,0
Blackbird - Anthology 3 Version,The Beatles,8
Blackbird - Remastered 2009,The Beatles,2
Blackbird / Yesterday,The Beatles,2
Blacklights,Koriass,3
Blackstar,David Bowie,2
Blackwind,Patrick Watson,8
Bless You,Leeroy,0
Blindsided,Bon Iver,2
Blonde On Blonde,Nada Surf,2
Bloodflood,alt-J,2
"Bloodflood, Pt. II",alt-J,2
Bloodshot Eyes,General Elektriks,6
Bloodstains,Kafka Tamura,2
Blue Boss,Sampa the Great,3
Blue Boy,Mac DeMarco,6
Blue Jay Way - Remastered 2009,The Beatles,2
Blue Jean - 1999 Remaster,David Bowie,0
Blue Veins,The Raconteurs,8
Blurred Lines,Robin Thicke,6
Blurred Lines,T.I.,6
Blurred Lines,Pharrell Williams,6
Bodysnatchers,Radiohead,7
Boe Zaah,Mac DeMarco,1
Bogart & Bergman,Justin Hurwitz,8
Bohemian Rhapsody,Jake Shimabukuro,2
Bohemian Rhapsody - Remastered 2011,Queen,2
Bohemian Rhapsody - Live Version,Jake Shimabukuro,2
Bohemian Rhapsody - Operatic Section / 2011 A Cappella Mix,Queen,3
Boise,Justin Hurwitz,1
The Bold Arrow Of Time,Tame Impala,2
Bolo Tie (feat. YG),Macklemore & Ryan Lewis,3
Bolo Tie (feat. YG),Macklemore,3
Bolo Tie (feat. YG),Ryan Lewis,3
Bolo Tie (feat. YG),YG,3
BomBom (feat. The Teaching),Macklemore & Ryan Lewis,1
BomBom (feat. The Teaching),The Teaching,1
Bone Machine,Pixies,0
Bones,Kafka Tamura,0
Bones,Michael Kiwanuka,2
Bongo Bong,Manu Chao,0
Bonzaïon,Loco Locass,3
Boom Boom Pow,Black Eyed Peas,6
Boomerang,Radio Radio,3
Border Line,King Krule,0
Borders,The Whitest Boy Alive,1
Borrowed Time,O.A.R.,6
Bottled Affection,Cold War Kids,6
Boy Meets Girl,Jake Shimabukuro,1
Boy Racers,Metronomy,1
Boychild Ghost,Fly Golden Eagle,1
Boys & Girls,Alabama Shakes,8
Boys - Anthology 1 Version,The Beatles,7
Boys - Live / Remastered,The Beatles,5
Boys - Remastered 2009,The Beatles,5
"Boys, What Was I Thinking... - Anthology 1 Version",The Beatles,3
"Boys, What Was I Thinking... - Anthology 1 Version",Eric Morecambe,3
"Boys, What Was I Thinking... - Anthology 1 Version",Ernie Wise,3
Brad Pitt's Cousin (feat. Xperience),Macklemore & Ryan Lewis,3
Brad Pitt's Cousin (feat. Xperience),Macklemore,3
Brad Pitt's Cousin (feat. Xperience),Ryan Lewis,3
Brad Pitt's Cousin (feat. Xperience),Xperience,3
Brain Damage,Pink Floyd,2
Bravado,Lorde,7
Brave For You,The xx,2
Break Forth O Beauteous Heavenly Light,Sufjan Stevens,2
Breakdown,Jack Johnson,2
Breathe (In the Air),Pink Floyd,2
Breathing Underwater,Metric,7
Breathing Underwater - Acoustic,Metric,2
Breed,Nirvana,7
Breezeblocks,alt-J,7
"Breezeblocks - Live at Lido Berlin, Berlin, Germany, 10/1/2014",alt-J,5
Brian Was A Beautiful Guy...He Presented Us Well - Anthology 1 Version,John Lennon,8
"Brick By Brick - Live At MTV Unplugged, 2009",Katy Perry,2
Bright Shiny Lights,Patrick Watson,2
Bright Shiny Lights,Patrick Watson,8
Brighter,Beach Fossils,2
Bring Me Simple Men,Timber Timbre,1
"Bring Out The Gimp - Dialogue Excerpt From ""Pulp Fiction""",Peter Greene,8
"Bring Out The Gimp - Dialogue Excerpt From ""Pulp Fiction""",Duane Whitaker,8
Bring the Boys Back Home,Pink Floyd,2
Bring Your Adz,Jake Shimabukuro,1
Briser Un Coeur,Ariane Moffatt,2
The British Grenadiers,The Band Of The Grenadier Guards,2
The British Grenadiers,John Williams,2
Brother,Mac DeMarco,1
Brother,Mac DeMarco,0
Brother (Live),Mac DeMarco,2
Brown Skin Girl,Leon Bridges,2
Brown Sugar - Remastered 2009,The Rolling Stones,6
Bruises,Kafka Tamura,2
Brun - La couleur de l'amour,Bernard Adamus,6
Bryn,Vampire Weekend,7
Buckshot (feat. KRS-One & DJ Premier),Macklemore & Ryan Lewis,6
Buckshot (feat. KRS-One & DJ Premier),Macklemore,6
Buckshot (feat. KRS-One & DJ Premier),Ryan Lewis,6
Buckshot (feat. KRS-One & DJ Premier),KRS-One,6
Buckshot (feat. KRS-One & DJ Premier),DJ Premier,6
Budapest,George Ezra,6
Buffalo Soldier,Bob Marley & The Wailers,3
Bulbe,VioleTT Pi,7
Bull's eye,Louis-Jean Cormier,5
Bullet in the Brain,The Black Keys,8
Bullet in the Brain,The Black Keys,0
Bulletproof,La Roux,0
Bullwinkle - Pt. II,The Centurians,2
Burial,Miike Snow,0
Burial,Miike Snow,0
Burial - DJ Mehdi Remix,Miike Snow,0
Burn the Witch,Radiohead,7
Burn You Down,Beach Fossils,7
Burnin',Daft Punk,0
"Burnin' And Lootin' - Live At The Lyceum, London/1975",Bob Marley & The Wailers,5
Burning,The Whitest Boy Alive,1
Bustin' Surfboards - Single Version,The Tornados,1
But Not For Me - Vocal Version,Chet Baker,2
Buzzcut Season,Lorde,2
Ça c'est nice,Radio Radio,5
C'est pas facial,Les Trois Accords,6
C'est tout oublié,Philippe Brach,0
C.Y.D.T.T. (Can you dance to this !?),20syl,0
Calgary,Bon Iver,2
California English,Vampire Weekend,3
California English (Live from Bonnaroo 2014),Vampire Weekend,5
California Gurls,Katy Perry,6
California Gurls,Snoop Dogg,6
California Sunrise,Dirty Gold,3
"Call It Fate, Call It Karma",The Strokes,2
Call Me,Metronomy,2
Call Me Back,The Strokes,2
Call Me in the Afternoon,Half Moon Run,6
A Call To Arms,Beirut,8
Caméra vidéo,Les Trois Accords,7
Campus,Vampire Weekend,6
Can't Buy Me Love - Anthology 1 Version,The Beatles,7
Can't Buy Me Love - Live / Remastered,The Beatles,5
Can't Buy Me Love - Remastered 2009,The Beatles,7
Can't Buy Me Love - Remastered 2015,The Beatles,7
Can't Help Falling in Love,Elvis Presley,8
Can't Help Falling In Love,Perfume Genius,8
Can't Help Falling In Love,Joseph Vincent,2
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,6
Can't Hold Us (feat. Ray Dalton),Ray Dalton,6
Can't Hold Us - Live From Spotify NYC feat. Ray Dalton,Macklemore & Ryan Lewis,3
Can't Hold Us - Live From Spotify NYC feat. Ray Dalton,Ray Dalton,3
Can’t Keep Checking My Phone,Unknown Mortal Orchestra,6
Can't Leave You Alone,Fly Golden Eagle,5
Can't Take My Eyes Off You,Joseph Vincent,2
Can't Take My Eyes off You,John Lloyd Young,0
Can't Take My Eyes Off You,Kris Fuchigami,2
Can't Take My Eyes off You,Muse,7
Can't Take You With Me,Bahamas,2
Can't You Hear Me Knocking - 2009 Mix,The Rolling Stones,7
Cannonball,GROUPLOVE,6
Cape Cod Kwassa Kwassa,Vampire Weekend,6
Cardiac Arrest,Bad Suns,6
Careless,Beach Fossils,7
Careless Whisper - Remastered,George Michael,0
Caribou,Pixies,7
carmen,Stromae,7
Carol of St. Benjamin The Bearded One,Sufjan Stevens,2
Carousel,Michael Jackson,0
Carry That Weight - Remastered 2009,The Beatles,6
Cary Me Back,Mild High Club,8
Casse-cou,Malajube,7
Casse-tête,Damien Robitaille,0
Castle,Macklemore & Ryan Lewis,6
Cat,C418,2
Catch & Release,Matt Simons,2
Catcliffe Shakedown - demo previously unreleased,Pulp,7
Caught Me Thinkin,Bahamas,6
'Cause I'm A Man,Tame Impala,7
Caustic Cross,Beach Fossils,1
Cayenne - Anthology 1 Version,The Beatles,1
Cayuco,Grupo Fantasma,6
Ce sentiment de l'été,Tahiti Boy,2
Ce soir l'amour est dans tes yeux (exclusivité Espace Musique),Louis-Jean Cormier,8
Cecilia Ann,Pixies,5
Ceiling,King Krule,5
Ceiling Zero,Mild High Club,8
Cementality,King Krule,2
Chains - Remastered 2009,The Beatles,6
Chamber Of Reflection,Mac DeMarco,1
Chamber of Reflection (Live),Mac DeMarco,6
Chambralit,Radio Radio,3
Champagne Showers,LMFAO,3
Champagne Showers,Natalia Kills,3
ChamPain (Bonus Track),Radio Radio,3
Chances,The Strokes,1
Change,Jack Johnson,2
Change Your Mind,The Killers,7
Chapel Perilous,Mild High Club,2
Charlie Boy,The Lumineers,2
Chasing My Tail,Mild High Club,8
The Chat,Mild High Club,7
Checkers,WhoMadeWho,1
Cheminant à la ville,Xavier Cafeine,7
Cherbourg,Beirut,2
Cherry Wine - Live,Hozier,8
Cherry Wine - Live,Hozier,2
Cherry Wine - Live from Spotify SXSW 2014,Hozier,8
Chicago,Sufjan Stevens,2
Chicken On A Stick,Justin Hurwitz,2
Chien,Philippe Brach,2
The Child With The Star On His Head,Sufjan Stevens,8
China Girl - 1999 Remaster,David Bowie,0
China Girl - 2002 Remaster,David Bowie,6
China Girl - Live,David Bowie,5
Chinatown,Justin Hurwitz,2
Chocolate Milk,FLEECE,2
Choice Kingdom,alt-J,2
Chris,C418,2
Christ The Lord Is Born,Sufjan Stevens,2
Christmas Face,Sufjan Stevens,2
Christmas In The Room,Sufjan Stevens,8
Christmas Unicorn,Sufjan Stevens,6
Christmas Woman,Sufjan Stevens,6
CIA,FLEECE,6
Cigar,WhoMadeWho,6
Cigar (Green Version),WhoMadeWho,6
Cigarette Daydreams,Cage The Elephant,6
Cincinnati,Justin Hurwitz,1
Circle The Drain,Katy Perry,6
Citizen,Broken Bells,7
City Of Stars / May Finally Come True,Justin Hurwitz,2
City Of Stars / May Finally Come True,Ryan Gosling,2
City Of Stars / May Finally Come True,Emma Stone,2
Clandestino,Manu Chao,0
Clark,C418,2
Clash the Truth,Beach Fossils,7
Classic Rope-A-Dope,Justin Hurwitz,2
Classy Girl,The Lumineers,6
Clearest Blue - Live From Spotify House SXSW 2016,CHVRCHES,5
Cleopatra,The Lumineers,7
Cleopatra,The Lumineers,2
Climbing Up the Walls,Radiohead,0
Cliquot,Beirut,8
Clocks,Coldplay,0
Clone,Metric,1
Clone (Bonus Track),Radio Radio,0
Close to Paradise,Patrick Watson,2
Close To Paradise,Patrick Watson,2
Club Intro,Mild High Club,1
Clup optimiste,Les Trois Accords,7
Cluster One,Pink Floyd,2
Cocoon,Milky Chance,6
Cold,Humble Braggers,6
Cold Cold Cold,Cage The Elephant,6
Cold Turkey,Lenny Kravitz,0
Colored Emotions,Night Moves,1
COMA,Philippe Brach,8
Comanche - Single Version,The Revels,1
Combien,Karkwa,8
Combustion Lente,Ariane Moffatt,2
Come A Little Closer,Cage The Elephant,7
Come And Get It - Anthology 3 Version,The Beatles,6
Come As You Are,Nirvana,0
Come Over,Estelle,0
Come Together - Anthology 3 Version,The Beatles,0
Come Together - Remastered 2009,The Beatles,7
Come Together - Remastered 2009,The Beatles,0
Come Together - Remastered 2015,The Beatles,0
Come Together / Dear Prudence / Cry Baby Cry,The Beatles,0
Comfortably Numb,Pink Floyd,2
Coming Back to Life,Pink Floyd,7
Coming Home,Leon Bridges,8
Coming Home,Leon Bridges,8
Comment ça va? (Digital Version),Radio Radio,0
Common People - Full Length Version,Pulp,7
Common People - Live Glastonbury Festival,Pulp,5
Common People - Vocoder Mix,Pulp,1
Complot d'enfants,Louis-Jean Cormier,6
"Comptine d'un autre été, l'après-midi",Yann Tiersen,2
Conférence / Figurer out (feat. Poncho French),Radio Radio,6
Conférence / Figurer out (feat. Poncho French),Poncho French,6
Congratulations,MGMT,6
Constellations,Jack Johnson,2
Contact,Daft Punk,1
The Continuing Story Of Bungalow Bill - Remastered 2009,The Beatles,5
Control,John Mark Nelson,7
Control,Electric Guest,0
Conversation Piece,Kings of Leon,7
Cookie,Jean Leloup,6
Cooking Up Something Good,Mac DeMarco,8
Cooking Up Something Good,Mac DeMarco,8
Cooking Up Something Good,Mac DeMarco,6
Copycat feat Fashawn,20syl,3
Copycat feat Fashawn,Fashawn,3
Corinne,Metronomy,1
Cornfield Chase,Hans Zimmer,2
Cottons of Inertia,General Elektriks,8
Couched In Twos,Fly Golden Eagle,0
Could You Be Loved,Bob Marley & The Wailers,6
Courage,The Whitest Boy Alive,1
Cousins,Vampire Weekend,7
Coventry Carol,Sufjan Stevens,8
Coward,Hans Zimmer,2
Cowboy Boots,Macklemore & Ryan Lewis,3
Crashed Out,Beach Fossils,7
Crazy,Gnarls Barkley,6
Crazy For You,Hedley,0
Crazy Rap (Colt 45 & 2 Zig Zags),Afroman,3
Creature Fear,Bon Iver,8
Credits,Justin Hurwitz,1
Creep,Stone Temple Pilots,0
Creep,Radiohead,6
Creep,Ember Island,2
Creep On Creepin' On,Timber Timbre,8
Crescendolls,Daft Punk,1
Crime,Real Estate,6
Crippled Inside,Widespread Panic,7
Crippled Inside - Remastered 2010,John Lennon,7
Croquer des cous,Les Trois Accords,7
Crown of Love,Arcade Fire,8
Cry Baby,Cage The Elephant,7
Cry Baby Cry - Anthology 3 Version,The Beatles,0
Cry Baby Cry - Remastered 2009,The Beatles,0
Cry For A Shadow - Anthology 1 Version,The Beatles,6
Crying Shame,Jack Johnson,0
Crystalised,The xx,2
Cult Logic,Miike Snow,6
Cult Logic,Miike Snow,6
Curtains!?,Timber Timbre,1
Cuttooth,Radiohead,7
Cyborg,WhoMadeWho,6
Cyclone,Karim Ouellet,7
Cyclone,Karim Ouellet,7
D'un côté ou de l'autre,Mara Tremblay,8
Da Funk,Daft Punk,1
Da Funk,Daft Punk,1
Daftendirekt,Daft Punk,1
Daisy Mae,Leon Bridges,8
Dance Off (feat. Idris Elba & Anderson .Paak),Macklemore & Ryan Lewis,6
Dance Off (feat. Idris Elba & Anderson .Paak),Macklemore,6
Dance Off (feat. Idris Elba & Anderson .Paak),Ryan Lewis,6
Dance Off (feat. Idris Elba & Anderson .Paak),Idris Elba,6
Dance Off (feat. Idris Elba & Anderson .Paak),Anderson .Paak,6
Dance Till The Morning Sun,Brazilian Girls,1
Dangerous,The xx,6
Dangerous (feat. Joywave),Big Data,6
Dangerous (feat. Joywave),Joywave,6
Danny,C418,2
Dans le coin,Les Trois Accords,7
Dans ma tête,Philippe Brach,6
Dans mon corps,Les Trois Accords,6
Dark Parts,Perfume Genius,8
Darling,Real Estate,6
David Lynch Moments,General Elektriks,6
Dawn,Unknown Mortal Orchestra,8
A Day in the Life,The Album Leaf,1
A Day in the Life,Mike Massé,2
A Day In The Life,The Beatles,2
A Day In The Life - Anthology 2 Version,The Beatles,2
A Day In The Life - Remastered 2009,The Beatles,5
A Day In The Life - Remastered 2010,The Beatles,2
Day Job - Modern Art Sculpture,SIMON I,7
Day One,Hans Zimmer,8
Day Tripper - Remastered 2009,The Beatles,0
Day Tripper - Remastered 2015,The Beatles,0
Daydreamer,Patrick Watson,2
Daydreamer,Patrick Watson,2
Daydreaming,Radiohead,8
Daylight,Coldplay,1
De mort à vivant,Ariane Moffatt,5
Dead End,The Whitest Boy Alive,0
Dead Flowers - 2009 Mix,The Rolling Stones,6
Dead Sea,The Lumineers,2
Dear Miss Lonelyhearts,Cold War Kids,7
Dear Prudence - feat. Jeff Hall,Mike Massé,2
Dear Prudence - feat. Jeff Hall,Jeff Hall,2
Dear Prudence - Remastered 2009,The Beatles,7
Death,C418,3
Death By Diamonds And Pearls,Band Of Skulls,7
Death Myth,Fly Golden Eagle,1
Debaser,Pixies,7
Debout,Ariane Moffatt,0
Décadence,Jean Leloup,6
Décembre,Karim Ouellet,6
Décembre,Sarahmée,6
Décembre - Bonus Track,Karim Ouellet,7
Décembre - Bonus Track,Orelsan,7
Decks Dark,Radiohead,1
Deep Blue,Arcade Fire,0
Dégénérations / Le reel du fossé,Mes Aïeux,0
Dekshoo,Radio Radio,0
Demanding,FLEECE,2
Demon Host,Timber Timbre,2
Demons,The National,8
Desaparecido,Manu Chao,0
Descarga Pura Y Dura,Grupo Fantasma,6
Desert Eagle,Data,0
Desert Island Disk,Radiohead,8
Desire Be Desire Go,Tame Impala,7
"Despair, Hangover & Ecstasy",The Dø,0
Detach,Hans Zimmer,2
Dettes,Radio Radio,6
Deux Lampadaires,Karkwa,7
Deux saisons trois quarts,Louis-Jean Cormier,8
Devant l'orage,Mara Tremblay,8
Devil In Her Heart - Remastered 2009,The Beatles,6
Día luna...Día pena,Manu Chao,5
Diamond Island,The Golden Filter,1
